MSZoning,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenonbvGr,KitchenQual,TotRmsAbvGrd,Functiononl,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,price
RH,11622,Pave,non,Reg,Lvl,Inside,Gtl,5,6,1961,1961,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,CBlock,TA,TA,No,Rec,468,LwQ,144,270,882,GasA,TA,Y,SBrkr,896,0,0,896,0,0,1,0,2,1,TA,5,Typ,0,non,Attchd,1961,Unf,1,730,TA,TA,140,0,0,0,120,0,non,MnPrv,non,0,6,2010,WD,169277.0524984
RL,14267,Pave,non,IR1,Lvl,Corner,Gtl,6,6,1958,1958,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,108,TA,TA,CBlock,TA,TA,No,ALQ,923,Unf,0,406,1329,GasA,TA,Y,SBrkr,1329,0,0,1329,0,0,1,1,3,1,Gd,6,Typ,0,non,Attchd,1958,Unf,1,312,TA,TA,393,36,0,0,0,0,non,non,Gar2,12500,6,2010,WD,187758.393988768
RL,13830,Pave,non,IR1,Lvl,Inside,Gtl,5,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,No,GLQ,791,Unf,0,137,928,GasA,Gd,Y,SBrkr,928,701,0,1629,0,0,2,1,3,1,TA,6,Typ,1,TA,Attchd,1997,Fin,2,482,TA,TA,212,34,0,0,0,0,non,MnPrv,non,0,3,2010,WD,183583.683569555
RL,9978,Pave,non,IR1,Lvl,Inside,Gtl,6,6,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,20,TA,TA,PConc,TA,TA,No,GLQ,602,Unf,0,324,926,GasA,Ex,Y,SBrkr,926,678,0,1604,0,0,2,1,3,1,Gd,7,Typ,1,Gd,Attchd,1998,Fin,2,470,TA,TA,360,36,0,0,0,0,non,non,non,0,6,2010,WD,179317.47751083
RL,5005,Pave,non,IR1,HLS,Inside,Gtl,8,5,1992,1992,Gable,CompShg,HdBoard,HdBoard,None,0,Gd,TA,PConc,Gd,TA,No,ALQ,263,Unf,0,1017,1280,GasA,Ex,Y,SBrkr,1280,0,0,1280,0,0,2,0,2,1,Gd,5,Typ,0,non,Attchd,1992,RFn,2,506,TA,TA,0,82,0,0,144,0,non,non,non,0,1,2010,WD,150730.079976501
RL,10000,Pave,non,IR1,Lvl,Corner,Gtl,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,763,763,GasA,Gd,Y,SBrkr,763,892,0,1655,0,0,2,1,3,1,TA,7,Typ,1,TA,Attchd,1993,Fin,2,440,TA,TA,157,84,0,0,0,0,non,non,non,0,4,2010,WD,177150.989247307
RL,7980,Pave,non,IR1,Lvl,Inside,Gtl,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0,TA,Gd,PConc,Gd,TA,No,ALQ,935,Unf,0,233,1168,GasA,Ex,Y,SBrkr,1187,0,0,1187,1,0,2,0,3,1,TA,6,Typ,0,non,Attchd,1992,Fin,2,420,TA,TA,483,21,0,0,0,0,non,GdPrv,Shed,500,3,2010,WD,172070.659229164
RL,8402,Pave,non,IR1,Lvl,Inside,Gtl,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,789,789,GasA,Gd,Y,SBrkr,789,676,0,1465,0,0,2,1,3,1,TA,7,Typ,1,Gd,Attchd,1998,Fin,2,393,TA,TA,0,75,0,0,0,0,non,non,non,0,5,2010,WD,175110.956519547
RL,10176,Pave,non,Reg,Lvl,Inside,Gtl,7,5,1990,1990,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,PConc,Gd,TA,Gd,GLQ,637,Unf,0,663,1300,GasA,Gd,Y,SBrkr,1341,0,0,1341,1,0,1,1,2,1,Gd,5,Typ,1,Po,Attchd,1990,Unf,2,506,TA,TA,192,0,0,0,0,0,non,non,non,0,2,2010,WD,162011.698831665
RL,8400,Pave,non,Reg,Lvl,Corner,Gtl,4,5,1970,1970,Gable,CompShg,Plywood,Plywood,None,0,TA,TA,CBlock,TA,TA,No,ALQ,804,Rec,78,0,882,GasA,TA,Y,SBrkr,882,0,0,882,1,0,1,0,2,1,TA,4,Typ,0,non,Attchd,1970,Fin,2,525,TA,TA,240,0,0,0,0,0,non,MnPrv,non,0,4,2010,WD,160726.247831419
